         time         x         y         w         h      conf  frame_count
0    0.000000  0.523829  0.396470  0.009517  0.017077  0.769696            0
1    0.020000  0.523829  0.396470  0.009517  0.017077  0.769696            1
2    0.040000  0.526753  0.397236  0.009593  0.017016  0.778046            2
3    0.060000  0.526053  0.397456  0.009614  0.016991  0.777958            3
4    0.080000  0.529142  0.397665  0.009757  0.017148  0.777925            4
5    0.100000  0.528541  0.397527  0.009780  0.017162  0.777827            5
6    0.120000  0.532215  0.398043  0.009818  0.017229  0.768244            6
7    0.140000  0.531763  0.398171  0.009796  0.017190  0.767141            7
8    0.160000  0.535205  0.398941  0.009514  0.017174  0.770805            8
9    0.180000  0.534620  0.399092  0.009406  0.017162  0.770702            9
10   0.200000  0.537899  0.399516  0.009446  0.016697  0.770077           10
11   0.220000  0.537265  0.399533  0.009462  0.016498  0.770201           11
12   0.240000  0.540953  0.400177  0.009712  0.017049  0.781007           12
13   0.260000  0.540515  0.400281  0.009815  0.017259  0.780831           13
14   0.280000  0.544136  0.400621  0.009929  0.017701  0.762176           14
15   0.300000  0.543576  0.400637  0.009960  0.017847  0.762078           15
16   0.320000  0.546804  0.401696  0.009879  0.017613  0.767720           16
17   0.340000  0.546301  0.401749  0.009810  0.017444  0.766806           17
18   0.360000  0.549730  0.401701  0.009400  0.016593  0.775016           18
19   0.380000  0.549209  0.401504  0.009238  0.016259  0.774767           19
20   0.400000  0.553059  0.402558  0.009887  0.016605  0.745742           20
21   0.420000  0.552691  0.402785  0.010109  0.016708  0.745609           21
22   0.440000  0.556035  0.403433  0.009581  0.016977  0.772420           22
23   0.460000  0.555518  0.403515  0.009354  0.017046  0.772148           23
24   0.520000  0.561159  0.403815  0.008727  0.015633  0.638894           26
25   0.540000  0.560773  0.403679  0.008634  0.015398  0.640957           27
26   0.560000  0.552812  0.396169  0.010618  0.015532  0.597160           28
27   0.580000  0.552899  0.396100  0.010763  0.015911  0.598868           29
28   0.600000  0.542060  0.388152  0.012530  0.018001  0.770899           30
29   0.620000  0.542060  0.388150  0.012530  0.018005  0.770967           31
30   0.640000  0.530213  0.380085  0.010377  0.016669  0.723389           32
31   0.660000  0.530213  0.380085  0.010377  0.016668  0.724147           33
32   0.720000  0.508028  0.365021  0.011818  0.020330  0.794324           36
33   0.740000  0.508028  0.365020  0.011817  0.020329  0.794295           37
