         time         x         y         w         h      conf  frame_count
34   0.760000  0.497268  0.358224  0.011825  0.019787  0.770821           38
35   0.780000  0.497269  0.358225  0.011823  0.019785  0.770887           39
36   0.800000  0.487081  0.350548  0.012326  0.019311  0.800285           40
37   0.820000  0.487098  0.350549  0.012349  0.019324  0.800290           41
38   0.840000  0.476724  0.344531  0.011877  0.019183  0.753027           42
39   0.860000  0.476722  0.344530  0.011865  0.019160  0.753796           43
40   0.880000  0.466877  0.337871  0.012093  0.019525  0.774776           44
41   0.900000  0.466894  0.337926  0.012110  0.019607  0.775065           45
42   0.920000  0.457945  0.332456  0.013366  0.021279  0.653246           46
43   0.940000  0.457945  0.332455  0.013366  0.021280  0.658013           47
44   0.960000  0.449497  0.329055  0.011815  0.017746  0.462988           48
45   0.980000  0.449496  0.329055  0.011807  0.017734  0.460905           49
46   1.000000  0.639279  0.317196  0.009185  0.014439  0.500524           50
47   1.020000  0.639279  0.317199  0.009182  0.014433  0.499175           51
48   1.480000  0.376579  0.314269  0.011721  0.019933  0.418992           74
49   1.500000  0.376582  0.314269  0.011719  0.019933  0.424613           75
50   1.640000  0.686581  0.331718  0.012745  0.020810  0.342100           82
51   1.660000  0.686572  0.331696  0.012764  0.020737  0.321802           83
52   1.680000  0.698076  0.332169  0.011549  0.020593  0.397538           84
53   1.700000  0.698079  0.332174  0.011550  0.020597  0.393009           85
54   1.720000  0.357596  0.344107  0.012183  0.021506  0.367788           86
55   1.740000  0.357574  0.344125  0.012231  0.021589  0.408804           87
56   3.640000  0.675470  0.255312  0.011695  0.021030  0.332282          182
57   3.660000  0.675469  0.255312  0.011704  0.021050  0.342791          183
58   3.680000  0.679134  0.269967  0.011695  0.020750  0.602672          184
59   3.700000  0.679133  0.269968  0.011690  0.020738  0.601605          185
60   3.880000  0.693938  0.347108  0.012303  0.021545  0.460930          194
61   3.900000  0.693940  0.347109  0.012330  0.021593  0.459377          195
62   3.920000  0.695608  0.362783  0.011352  0.019966  0.768972          196
63   3.940000  0.695607  0.362783  0.011349  0.019964  0.769054          197
64   3.960000  0.698860  0.369413  0.010762  0.017605  0.685077          198
65   3.980000  0.698859  0.369412  0.010767  0.017615  0.685348          199
66   4.000000  0.702652  0.361929  0.011101  0.018991  0.750638          200
67   4.020000  0.702651  0.361931  0.011090  0.018972  0.750885          201
68   4.040000  0.706650  0.355199  0.011198  0.019311  0.739082          202
69   4.060000  0.706650  0.355202  0.011196  0.019310  0.739175          203
70   4.080000  0.710960  0.350213  0.011781  0.020558  0.740028          204
71   4.100000  0.710961  0.350218  0.011785  0.020565  0.740174          205
72   4.120000  0.714798  0.345014  0.011746  0.018682  0.651365          206
73   4.140000  0.714798  0.345015  0.011752  0.018700  0.651472          207
74   4.160000  0.719673  0.339120  0.010299  0.015760  0.597977          208
75   4.180000  0.719672  0.339121  0.010292  0.015743  0.600475          209
76   4.520000  0.750566  0.339281  0.010058  0.019245  0.549524          226
77   4.540000  0.750565  0.339284  0.010056  0.019246  0.544021          227
78   4.560000  0.753426  0.342742  0.011941  0.020255  0.771508          228
79   4.580000  0.753426  0.342743  0.011942  0.020254  0.771600          229
80   4.600000  0.756810  0.347591  0.011950  0.019963  0.729509          230
81   4.620000  0.756809  0.347593  0.011934  0.019932  0.729878          231
82   4.640000  0.760610  0.352302  0.011625  0.018914  0.767871          232
83   4.660000  0.760609  0.352301  0.011625  0.018917  0.767826          233
84   4.680000  0.763961  0.358659  0.010980  0.019218  0.777490          234
85   4.700000  0.763961  0.358659  0.010974  0.019209  0.777545          235
86   4.720000  0.767587  0.365754  0.011390  0.020092  0.787624          236
87   4.740000  0.767586  0.365754  0.011391  0.020096  0.787696          237
88   4.760000  0.770687  0.374093  0.011515  0.020883  0.797913          238
89   4.780000  0.770687  0.374093  0.011515  0.020883  0.797953          239
90   4.800000  0.774305  0.382679  0.011911  0.021507  0.772093          240
91   4.820000  0.774305  0.382679  0.011911  0.021507  0.772083          241
92   4.840000  0.777805  0.392239  0.012074  0.022072  0.769537          242
93   4.860000  0.777805  0.392239  0.012071  0.022065  0.769550          243
94   4.880000  0.781418  0.402861  0.011675  0.021511  0.774564          244
95   4.900000  0.781418  0.402860  0.011667  0.021497  0.774507          245
96   4.920000  0.785568  0.413652  0.012155  0.022561  0.751469          246
97   4.940000  0.785568  0.413651  0.012156  0.022564  0.751450          247
98   4.960000  0.789678  0.424940  0.010986  0.020055  0.764828          248
99   4.980000  0.789678  0.424938  0.010988  0.020052  0.764898          249
100  5.000000  0.783076  0.424018  0.017071  0.020976  0.711987          250
101  5.020000  0.780966  0.423763  0.019295  0.021269  0.710949          251
102  5.080000  0.727419  0.392409  0.017478  0.020932  0.744644          254
103  5.100000  0.727420  0.392411  0.017477  0.020926  0.744723          255
104  5.120000  0.701154  0.378450  0.018621  0.019285  0.758217          256
105  5.140000  0.701157  0.378450  0.018614  0.019249  0.758240          257
106  5.160000  0.845782  0.341445  0.007872  0.012986  0.337002          258
107  5.180000  0.845771  0.341439  0.007856  0.012982  0.334240          259
108  5.200000  0.648135  0.355152  0.017709  0.020034  0.329470          260
109  5.220000  0.648116  0.355154  0.017674  0.020032  0.337166          261
110  6.440000  0.446233  0.497572  0.011941  0.018902  0.552152          322
111  6.460000  0.446232  0.497571  0.011943  0.018902  0.550206          323
112  6.600000  0.212033  0.513875  0.012743  0.021130  0.566830          330
113  6.620000  0.212034  0.513877  0.012741  0.021127  0.564895          331
114  6.640000  0.215100  0.511956  0.012424  0.020791  0.467531          332
115  6.660000  0.215100  0.511969  0.012410  0.020746  0.454863          333
116  6.760000  0.224714  0.510779  0.012033  0.020929  0.649277          338
117  6.780000  0.224714  0.510779  0.012030  0.020925  0.649412          339
118  6.880000  0.238068  0.519901  0.012518  0.020597  0.551080          344
119  6.900000  0.238067  0.519897  0.012515  0.020590  0.550388          345
120  6.960000  0.246367  0.525019  0.013932  0.023776  0.746280          348
121  6.980000  0.246380  0.525030  0.013889  0.023705  0.747077          349
122  7.000000  0.248388  0.521304  0.012549  0.021725  0.758953          350
123  7.020000  0.249054  0.519979  0.012133  0.021103  0.758849          351
124  7.040000  0.251413  0.518471  0.013035  0.022735  0.745958          352
125  7.060000  0.252077  0.518034  0.013309  0.023233  0.746032          353
126  7.080000  0.254203  0.515992  0.013217  0.023049  0.790132          354
127  7.100000  0.254836  0.515446  0.013182  0.022976  0.789840          355
128  7.120000  0.256800  0.515040  0.013698  0.023865  0.768727          356
129  7.140000  0.257456  0.514974  0.013875  0.024172  0.768724          357
130  7.160000  0.259267  0.515278  0.013771  0.023730  0.765713          358
131  7.180000  0.259859  0.515380  0.013724  0.023544  0.765546          359
132  7.200000  0.262113  0.515743  0.013366  0.022716  0.784689          360
133  7.220000  0.262837  0.515889  0.013228  0.022401  0.784686          361
134  7.240000  0.264470  0.517611  0.012904  0.022038  0.737063          362
135  7.260000  0.265015  0.518280  0.012784  0.021909  0.737070          363
136  7.280000  0.267007  0.518683  0.012476  0.021305  0.745607          364
137  7.300000  0.267704  0.518880  0.012366  0.021048  0.746295          365
138  7.320000  0.269189  0.517545  0.012905  0.022024  0.752709          366
139  7.340000  0.269676  0.516932  0.013099  0.022386  0.753025          367
140  7.360000  0.271682  0.516017  0.013459  0.023341  0.766388          368
141  7.380000  0.272352  0.515585  0.013641  0.023789  0.766261          369
142  7.400000  0.274189  0.515597  0.013909  0.023992  0.785644          370
143  7.420000  0.274845  0.515559  0.014006  0.024048  0.785982          371
144  7.440000  0.276251  0.515543  0.013286  0.022493  0.751780          372
145  7.460000  0.276734  0.515535  0.013009  0.021896  0.751231          373
146  7.480000  0.278531  0.515162  0.012371  0.021693  0.789078          374
147  7.500000  0.279122  0.515039  0.012135  0.021620  0.789058          375
148  7.520000  0.280833  0.514747  0.012524  0.022294  0.770735          376
149  7.540000  0.281407  0.514598  0.012671  0.022548  0.770640          377
150  7.560000  0.282679  0.513798  0.012945  0.022772  0.768780          378
151  7.580000  0.283142  0.513477  0.013044  0.022848  0.768821          379
152  7.600000  0.284398  0.512384  0.012454  0.021494  0.628120          380
153  7.620000  0.284873  0.511952  0.012235  0.020984  0.626167          381
154  7.640000  0.286276  0.511656  0.012180  0.020336  0.614907          382
155  7.660000  0.286724  0.511512  0.012157  0.020095  0.617411          383
156  7.680000  0.288623  0.511440  0.012863  0.021979  0.736927          384
157  7.700000  0.289274  0.511337  0.013113  0.022635  0.736640          385
158  7.720000  0.290340  0.510784  0.013265  0.022754  0.749987          386
159  7.740000  0.290736  0.510564  0.013310  0.022776  0.749969          387
160  7.760000  0.291871  0.510611  0.013168  0.022644  0.766205          388
161  7.780000  0.292261  0.510621  0.013113  0.022592  0.766193          389
162  7.800000  0.293194  0.510092  0.013113  0.022070  0.755013          390
163  7.820000  0.293471  0.509810  0.013110  0.021867  0.755100          391
164  7.840000  0.294206  0.509305  0.013325  0.022507  0.738462          392
165  7.860000  0.294457  0.509123  0.013415  0.022759  0.738380          393
166  7.880000  0.295923  0.508753  0.013296  0.022867  0.775821          394
167  7.900000  0.296474  0.508597  0.013248  0.022951  0.777321          395
168  7.920000  0.298193  0.507709  0.013329  0.023223  0.768229          396
169  7.940000  0.298786  0.507325  0.013356  0.023306  0.768050          397
170  7.960000  0.300531  0.507120  0.013276  0.023359  0.788349          398
171  7.980000  0.301145  0.507050  0.013247  0.023381  0.788403          399
172  8.000000  0.302653  0.506208  0.013075  0.022876  0.769695          400
173  8.020000  0.303183  0.505936  0.013021  0.022687  0.769232          401
174  8.040000  0.305236  0.505680  0.012978  0.022107  0.743381          402
175  8.060000  0.305964  0.505528  0.012963  0.021889  0.743375          403
176  8.080000  0.307904  0.505920  0.013096  0.022165  0.787989          404
177  8.100000  0.308585  0.505957  0.013231  0.022364  0.789346          405
178  8.120000  0.310643  0.505106  0.012784  0.021211  0.656714          406
179  8.140000  0.311304  0.504728  0.012632  0.020790  0.658314          407
180  8.160000  0.312493  0.504640  0.013049  0.022107  0.762113          408
181  8.180000  0.312933  0.504658  0.013202  0.022582  0.762026          409
182  8.200000  0.314109  0.503861  0.012708  0.021512  0.738843          410
183  8.220000  0.314572  0.503577  0.012516  0.021090  0.738850          411
184  8.240000  0.315905  0.503715  0.012232  0.020808  0.743697          412
185  8.260000  0.316328  0.503691  0.012129  0.020714  0.743911          413
186  8.280000  0.318086  0.503450  0.012291  0.020960  0.713638          414
187  8.300000  0.318644  0.503311  0.012361  0.021052  0.715424          415
188  8.320000  0.319508  0.502732  0.012227  0.021304  0.758954          416
189  8.340000  0.319834  0.502471  0.012165  0.021394  0.758634          417
190  8.360000  0.321466  0.502881  0.012718  0.021647  0.741019          418
191  8.380000  0.322064  0.502967  0.012945  0.021779  0.742464          419
192  8.400000  0.323662  0.502488  0.012776  0.022122  0.755857          420
193  8.420000  0.324188  0.502217  0.012713  0.022255  0.755878          421
194  8.440000  0.325450  0.501907  0.012737  0.021584  0.761756          422
195  8.460000  0.325846  0.501795  0.012756  0.021351  0.763655          423
196  8.480000  0.326841  0.501761  0.012464  0.021490  0.760796          424
197  8.500000  0.327206  0.501644  0.012353  0.021553  0.760933          425
198  8.520000  0.328363  0.501490  0.012135  0.021535  0.785239          426
199  8.540000  0.328748  0.501331  0.012194  0.021700  0.786559          427
200  8.560000  0.329853  0.500987  0.012629  0.022124  0.775127          428
201  8.580000  0.330209  0.500814  0.012792  0.022284  0.775108          429
202  8.600000  0.331660  0.500507  0.012655  0.022040  0.775613          430
203  8.620000  0.332154  0.500389  0.012592  0.021976  0.775447          431
204  8.640000  0.333658  0.500374  0.012613  0.021956  0.796175          432
205  8.660000  0.334199  0.500358  0.012622  0.021946  0.796109          433
206  8.680000  0.335519  0.500912  0.012699  0.021372  0.457520          434
207  8.700000  0.335980  0.501074  0.012721  0.021111  0.438105          435
208  8.720000  0.337044  0.500577  0.012326  0.021372  0.784891          436
209  8.740000  0.337401  0.500347  0.012169  0.021464  0.784792          437
210  8.760000  0.338362  0.499910  0.012414  0.021524  0.769918          438
211  8.780000  0.338693  0.499730  0.012542  0.021574  0.767209          439
212  8.800000  0.339915  0.499376  0.012650  0.022151  0.773144          440
213  8.820000  0.340357  0.499187  0.012677  0.022355  0.773531          441
214  8.840000  0.341317  0.498868  0.012698  0.022141  0.757793          442
215  8.860000  0.341633  0.498716  0.012694  0.022020  0.759037          443
216  8.880000  0.342940  0.498435  0.012916  0.022311  0.748300          444
217  8.900000  0.343384  0.498307  0.013003  0.022428  0.749233          445
218  8.920000  0.344472  0.498115  0.013450  0.022983  0.750450          446
219  8.940000  0.344853  0.498057  0.013606  0.023179  0.750579          447
220  8.960000  0.346083  0.497605  0.013090  0.022354  0.752977          448
221  8.980000  0.346518  0.497404  0.012876  0.022013  0.752837          449
222  9.000000  0.347211  0.497211  0.012188  0.020307  0.708800          450
223  9.020000  0.347410  0.497073  0.011928  0.019661  0.708786          451
224  9.040000  0.348149  0.496833  0.011934  0.019953  0.713457          452
225  9.060000  0.348375  0.496709  0.011953  0.020080  0.713745          453
226  9.080000  0.348994  0.496273  0.011831  0.020222  0.741766          454
227  9.100000  0.349203  0.496093  0.011786  0.020277  0.741760          455
228  9.120000  0.350304  0.496264  0.012865  0.020686  0.632091          456
229  9.140000  0.350682  0.496305  0.013236  0.020793  0.629585          457
230  9.160000  0.351840  0.495811  0.012777  0.021563  0.743349          458
231  9.180000  0.352235  0.495585  0.012588  0.021850  0.743205          459
232  9.200000  0.352507  0.494120  0.013245  0.022915  0.755917          460
233  9.220000  0.352584  0.493549  0.013481  0.023310  0.756027          461
234  9.240000  0.352981  0.492819  0.013044  0.022684  0.774676          462
235  9.260000  0.353122  0.492491  0.012867  0.022432  0.774796          463
236  9.280000  0.353324  0.492459  0.012571  0.022448  0.786193          464
237  9.300000  0.353370  0.492390  0.012431  0.022414  0.787193          465
238  9.320000  0.353407  0.491984  0.012348  0.022177  0.779279          466
239  9.340000  0.353363  0.491796  0.012308  0.022067  0.779698          467
240  9.360000  0.353691  0.492688  0.012279  0.021595  0.747389          468
241  9.380000  0.353780  0.492990  0.012271  0.021424  0.747351          469
242  9.400000  0.353939  0.494311  0.013129  0.022888  0.763617          470
243  9.420000  0.353983  0.494762  0.013431  0.023430  0.764033          471
244  9.440000  0.354239  0.494568  0.013352  0.023462  0.776409          472
245  9.460000  0.354329  0.494453  0.013313  0.023467  0.776580          473
246  9.480000  0.354387  0.494653  0.013492  0.023499  0.759594          474
247  9.500000  0.354391  0.494674  0.013556  0.023512  0.759741          475
248  9.520000  0.354261  0.494950  0.013380  0.023168  0.770240          476
249  9.540000  0.354200  0.495002  0.013315  0.023043  0.770328          477
250  9.560000  0.354185  0.495199  0.013339  0.023261  0.766692          478
251  9.580000  0.354180  0.495234  0.013344  0.023338  0.766420          479
252  9.600000  0.353775  0.495663  0.013529  0.023475  0.745480          480
